system,comp,sol,element,rest_l,z,z_err,c_d,cd_low,cd_high,b,mb_low,b_high,ew_flux,ew_vp,ew_er,s3,s5
3,f,S1306,MgII,2796.3543,2.53515,3.02E-05,13.1314,13.0572,13.1733,10.5091,9.10608,11.5111,0.22465,0.223697,0.0155896,0.967,0.967
3,f,S1306,MgII,2803.5315,2.53515,3.02E-05,13.1314,13.0572,13.1733,10.5091,9.10608,11.5111,0.207907,0.161582,0.0178227,0.967,0.967
3,h,S1306,FeII,2600.1725,2.53106,0.000108,13.1498,12.9581,13.2394,59.3504,56.3473,60.1092,0.268731,0.167088,0.00803393,-99,-99
3,h,S1306,FeII,2586.6496,2.53106,0.000108,13.1498,12.9581,13.2394,59.3504,56.3473,60.1092,0.137564,0.0509553,0.00839459,-99,-99
3,h,S1306,FeII,2382.7642,2.53106,0.000108,13.1498,12.9581,13.2394,59.3504,56.3473,60.1092,1.07914,0.187822,0.0817202,-99,-99
3,h,S1306,FeII,2344.213,2.53106,0.000108,13.1498,12.9581,13.2394,59.3504,56.3473,60.1092,-0.517838,0.07041,1.86048,-99,-99
3,h,S1306,FeII,1608.4508,2.53106,0.000108,13.1498,12.9581,13.2394,59.3504,56.3473,60.1092,4.01806,0.016975,3.53746,-99,-99
3,i,S1306,FeII,2600.1725,2.53117,2.03E-05,13.2,13.087,13.2424,6.42994,5.35123,7.49651,0.169175,0.110385,0.00455177,-99,-99
3,i,S1306,FeII,2586.6496,2.53117,2.03E-05,13.2,13.087,13.2424,6.42994,5.35123,7.49651,0.0713586,0.0480228,0.00480047,-99,-99
3,i,S1306,FeII,2382.7642,2.53117,2.03E-05,13.2,13.087,13.2424,6.42994,5.35123,7.49651,0.314596,0.108756,0.0471609,-99,-99
3,i,S1306,FeII,2344.213,2.53117,2.03E-05,13.2,13.087,13.2424,6.42994,5.35123,7.49651,0.252055,0.0581341,0.923385,-99,-99
3,i,S1306,FeII,1608.4508,2.53117,2.03E-05,13.2,13.087,13.2424,6.42994,5.35123,7.49651,2.518,0.0167558,1.93054,-99,-99
3,j,S1306,FeII,2600.1725,2.53217,7.98E-05,14.5,14.3312,14.5801,9.86115,9.23873,10.3141,0.487423,0.32025,0.00451755,-99,-99
3,j,S1306,FeII,2586.6496,2.53217,7.98E-05,14.5,14.3312,14.5801,9.86115,9.23873,10.3141,0.379223,0.260483,0.0049358,-99,-99
3,j,S1306,FeII,2382.7642,2.53217,7.98E-05,14.4718,14.3312,14.5801,9.86115,9.23873,10.3141,0.7264,0.30693,0.138773,-99,-99
3,j,S1306,FeII,2344.213,2.53217,7.98E-05,14.4718,14.3312,14.5801,9.86115,9.23873,10.3141,0.654824,0.234187,1.5369,-99,-99
3,j,S1306,FeII,1608.4508,2.53217,7.98E-05,14.4718,14.3312,14.5801,9.86115,9.23873,10.3141,1.18408,0.130653,1.54758,-99,-99
3,i,S1306,FeII,2600.1725,2.53256,0.000192,14.2622,14.0702,14.377,25.6527,21.9813,27.3001,0.745418,0.605898,0.00505384,-99,-99
3,i,S1306,FeII,2586.6496,2.53256,0.000192,14.2622,14.0702,14.377,25.6527,21.9813,27.3001,0.663464,0.397521,0.00544557,-99,-99
3,i,S1306,FeII,2382.7642,2.53256,0.000192,14.2622,14.0702,14.377,25.6527,21.9813,27.3001,0.914125,0.582205,0.139804,-99,-99
3,i,S1306,FeII,2344.213,2.53256,0.000192,14.2622,14.0702,14.377,25.6527,21.9813,27.3001,-0.426926,0.427539,1.64163,-99,-99
3,i,S1306,FeII,1608.4508,2.53256,0.000192,14.2622,14.0702,14.377,25.6527,21.9813,27.3001,0.812188,0.168038,1.93619,-99,-99
3,j,S1306,FeII,2600.1725,2.53288,0.00103,14.2668,14.212,14.2994,37.1247,35.7315,38.0538,0.941844,0.825666,0.00629542,-99,-99
3,j,S1306,FeII,2586.6496,2.53288,0.00103,14.2668,14.212,14.2994,37.1247,35.7315,38.0538,0.702595,0.454209,0.00615104,-99,-99
